34.6,22.0,28.8,78.0,50.0,7.2,3.0,2.0
34.8,21.0,27.6,71.0,0.3,9.0,6.0,3.0
38.2,24.0,29.9,64.0,0.0,11.4,6.0,2.0
33.8,22.0,27.3,77.0,0.0,6.5,4.0,2.0
33.9,25.0,29.1,77.0,0.0,6.6,5.0,3.0
35.6,23.0,28.0,66.0,0.0,8.3,5.0,2.0
36.1,22.0,29.2,74.0,0.0,7.8,0.0,0.0
37.8,20.0,28.7,58.0,0.0,4.2,7.0,3.0
35.4,23.0,27.7,76.0,0.0,1.3,4.0,2.0
34.2,23.0,27.1,83.0,0.0,8.0,3.0,1.0
36.4,24.0,28.8,70.0,0.0,9.3,8.0,3.0
38.2,24.0,29.9,64.0,0.0,11.4,6.0,2.0
35.7,24.0,29.9,75.0,0.0,8.0,8.0,2.0
36.6,23.0,29.3,72.0,0.0,8.8,7.0,2.0
32.2,25.0,28.4,82.0,0.0,7.8,5.0,2.0
34.9,23.0,28.2,81.0,0.0,6.3,3.0,1.0
34.2,24.0,28.6,87.0,0.0,7.5,3.0,1.0
36.8,23.0,28.3,71.0,0.0,8.8,5.0,2.0
35.6,24.0,28.1,84.0,0.0,7.0,8.0,2.0
33.9,25.0,28.9,78.0,0.0,5.2,4.0,1.0
33.8,22.0,27.0,81.0,0.0,5.5,5.0,2.0
33.9,25.0,28.9,78.0,0.0,5.2,4.0,1.0
34.2,23.0,27.6,81.0,0.0,7.8,6.0,4.0
36.8,23.0,28.3,71.0,0.0,8.8,5.0,2.0
37.0,25.0,29.4,65.0,0.0,8.8,5.0,2.0
33.4,35.0,27.9,79.0,0.0,5.9,6.0,2.0
34.1,20.0,27.5,77.0,0.0,8.0,4.0,2.0
33.8,24.0,27.3,82.0,4.9,7.4,5.0,3.0
36.6,23.0,29.3,72.0,0.0,8.8,7.0,2.0
32.6,24.0,27.6,68.0,117.4,8.0,4.0,6.0
36.4,24.6,29.5,67.0,0.0,7.9,4.0,3.0
35.6,23.0,28.4,70.0,0.0,3.5,5.0,2.0
33.3,22.0,26.8,76.0,0.0,8.0,5.0,3.0
36.4,23.0,28.2,70.0,0.0,3.5,6.0,2.0
33.6,23.0,27.4,77.0,0.0,7.5,0.0,0.0
33.2,22.0,26.3,81.0,23.2,8.0,4.0,3.0
33.9,25.0,28.9,78.0,0.0,5.2,4.0,1.0
34.8,35.0,27.0,68.0,0.0,9.0,7.0,2.0
35.9,23.0,28.9,72.0,0.0,7.4,6.0,2.0
34.6,21.0,28.2,88.0,0.0,7.6,4.0,1.0
35.6,24.0,28.1,84.0,0.0,7.0,8.0,2.0
37.8,20.0,28.7,58.0,0.0,4.2,7.0,3.0
37.2,22.0,29.4,62.0,0.0,6.5,8.0,3.0
34.2,24.0,28.0,78.0,2.4,4.7,5.0,2.0
34.6,21.0,25.8,74.0,0.0,6.8,4.0,2.0
34.8,35.0,27.0,68.0,0.0,9.0,7.0,2.0
36.0,24.0,29.1,70.0,0.0,8.5,6.0,2.0
37.0,25.0,29.4,65.0,0.0,8.8,5.0,2.0
33.8,22.0,27.0,81.0,0.0,5.5,5.0,2.0
32.2,23.0,25.3,84.0,0.0,4.2,7.0,3.0
34.8,23.0,28.6,63.0,0.0,8.6,8.0,3.0
33.8,24.0,27.3,82.0,4.9,7.4,5.0,3.0
30.3,25.0,27.2,77.0,0.0,2.9,3.0,2.0
33.6,23.0,27.1,78.0,0.0,8.4,5.0,2.0
32.2,22.0,26.8,78.0,0.0,6.6,3.0,0.0
33.4,21.0,27.5,81.0,0.3,5.6,5.0,2.0
33.8,24.0,27.3,82.0,4.9,7.4,5.0,3.0
37.8,20.0,28.7,58.0,0.0,4.2,7.0,3.0
34.4,22.0,27.0,73.0,0.0,5.0,5.0,2.0
36.8,23.0,28.3,71.0,0.0,8.8,5.0,2.0
37.8,20.0,28.7,58.0,0.0,4.2,7.0,3.0
